City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,keetmanshoop,-26.5833,18.1333,32.7,19,1,6.3,NA,1715264953
332,labrador city,52.9463,-66.9114,5.66,40,0,6.71,CA,1715264953
333,jincheng,35.5022,112.8328,20.14,57,1,4.3,CN,1715264954
334,timbuktu,16.7735,-3.0074,43.7,5,0,1.96,ML,1715264954
335,nerva,37.6963,-6.5497,28.06,22,100,3.76,ES,1715264955
336,daru,-9.0763,143.2092,26.07,90,100,6.1,PG,1715264955
337,bam,29.106,58.357,32.47,13,9,8.6,IR,1715264956
338,carauari,-4.8828,-66.8958,30.6,68,30,1.54,BR,1715264956
339,malvan,16.0667,73.4667,28.82,76,0,6.93,IN,1715264957
340,rajin,42.2489,130.3003,13.01,46,23,2.67,KP,1715264957
341,mersing,2.4312,103.8405,27.95,89,20,2.06,MY,1715264958
342,flin flon,54.7682,-101.865,6.91,87,75,0.0,CA,1715264621
343,englewood,39.6478,-104.9878,7.98,62,75,4.12,US,1715264743
344,meulaboh,4.1363,96.1285,27.31,83,66,0.33,ID,1715264959
345,ciudad lazaro cardenas,17.9583,-102.2,24.37,79,18,1.13,MX,1715264959
346,uzgen,40.7699,73.3007,25.16,50,15,1.99,KG,1715264960
347,nyrob,60.733,56.7202,1.36,69,100,4.12,RU,1715264961
348,jiuquan,39.7432,98.5174,19.15,35,100,2.59,CN,1715264961
349,hithadhoo,-0.6,73.0833,29.01,79,99,5.63,MV,1715264962
350,tarauaca,-8.1614,-70.7656,27.11,92,56,0.72,BR,1715264963
351,rawson,-43.3002,-65.1023,9.37,51,56,1.76,AR,1715264964
352,villanueva,15.3167,-88.0,30.58,84,75,1.03,HN,1715264964
353,ponta delgada,37.7333,-25.6667,19.4,77,20,7.2,PT,1715264965
354,arys,42.4252,68.795,19.53,66,100,5.79,KZ,1715264965
355,embi,48.8264,58.1442,12.9,37,2,7.31,KZ,1715264966
356,al jawf,29.5,38.75,33.73,8,0,4.25,SA,1715264966
357,dryden,49.7833,-92.7503,8.16,61,0,3.09,CA,1715264967
358,al mishkhab,31.8042,44.4911,33.06,13,4,4.8,IQ,1715264967
359,selfoss,63.9331,-20.9971,7.36,47,100,1.92,IS,1715264968
360,baganga,7.5739,126.56,25.47,88,2,1.92,PH,1715264968
361,oleksandriys'ke,48.6077,32.9835,13.14,42,93,5.02,UA,1715264969
